ORISPL_CODE,UNITID,Generator ID,PTID,Zone,Latitude,Longitude,Plant Name,solar_size_MW,State,County,Prime Mover,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Operating Month,Operating Year,Planned Retirement Month,Planned Retirement Year,Sector Name,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Time from Cold Shutdown to Full Load,Cofire Fuels?,Switch Between Oil and Natural Gas?,CRIS_winter
2494,CT04-3,GT43,24132,N.Y.C.,40.6635,-74.0051,Gowanus Gas Turbines Generating,4.202087519,NY,Kings,GT,20,1,17.5,23.4,16,7,1971, , ,IPP Non-CHP,DFO,KER,,,,,1H,Y,,23
2494,CT04-4,GT44,24133,N.Y.C.,40.6635,-74.0051,Gowanus Gas Turbines Generating,4.202087519,NY,Kings,GT,20,1,15.9,21.7,16,7,1971, , ,IPP Non-CHP,DFO,KER,,,,,1H,Y,,22.3
2494,CT04-5,GT45,24134,N.Y.C.,40.6635,-74.0051,Gowanus Gas Turbines Generating,4.202087519,NY,Kings,GT,20,1,16.1,20.7,16,7,1971, , ,IPP Non-CHP,DFO,KER,,,,,1H,Y,,22.3
2494,CT04-6,GT46,24135,N.Y.C.,40.6635,-74.0051,Gowanus Gas Turbines Generating,4.202087519,NY,Kings,GT,20,1,17.9,22.6,16,7,1971, , ,IPP Non-CHP,DFO,KER,,,,,1H,Y,,24.3
2494,CT04-7,GT47,24136,N.Y.C.,40.6635,-74.0051,Gowanus Gas Turbines Generating,4.202087519,NY,Kings,GT,20,1,16.6,21.6,16,7,1971, , ,IPP Non-CHP,DFO,KER,,,,,1H,Y,,21.7
2494,CT04-8,GT48,24137,N.Y.C.,40.6635,-74.0051,Gowanus Gas Turbines Generating,4.202087519,NY,Kings,GT,20,1,17.5,23.3,16,7,1971, , ,IPP Non-CHP,DFO,KER,,,,,1H,Y,,24.8
2496,CT0003,GT3,23810,N.Y.C.,40.7052,-73.9807,Hudson Avenue,6.283185307,NY,Kings,GT,16.3,0.85,14.3,18.7,11,7,1970, , ,Electric Utility,KER,,,,,,1H,,,20.9
2496,CT0004,4,23540,N.Y.C.,40.7052,-73.9807,Hudson Avenue,6.283185307,NY,Kings,GT,16.3,0.85,14.6,17.5,11,7,1970, , ,Electric Utility,KER,,,,,,1H,,,18.2
2496,CT0005,GT5,23657,N.Y.C.,40.7052,-73.9807,Hudson Avenue,6.283185307,NY,Kings,GT,16.3,0.85,15.7,18.6,11,7,1970, , ,Electric Utility,KER,,,,,,1H,,,19.7
2499,CT01-1,NT11,24228,N.Y.C.,40.648611,-74.020833,Narrows Gas Turbines Generating,6.283185307,NY,Kings,GT,22,1,18.7,24.7,16,5,1972, , ,IPP Non-CHP,NG,DFO,KER,,,,1H,Y,Y,27.4
2499,CT01-2,NT12,24229,N.Y.C.,40.648611,-74.020833,Narrows Gas Turbines Generating,6.283185307,NY,Kings,GT,22,1,16.9,23.4,16,5,1972, , ,IPP Non-CHP,NG,DFO,KER,,,,1H,Y,Y,25.5
2499,CT01-3,NT13,24230,N.Y.C.,40.648611,-74.020833,Narrows Gas Turbines Generating,6.283185307,NY,Kings,GT,22,1,18.4,24.3,16,5,1972, , ,IPP Non-CHP,NG,DFO,KER,,,,1H,Y,Y,26.6
2499,CT01-4,NT14,24231,N.Y.C.,40.648611,-74.020833,Narrows Gas Turbines Generating,6.283185307,NY,Kings,GT,22,1,18.8,24.9,16,5,1972, , ,IPP Non-CHP,NG,DFO,KER,,,,1H,Y,Y,26.3
2499,CT01-5,NT15,24232,N.Y.C.,40.648611,-74.020833,Narrows Gas Turbines Generating,6.283185307,NY,Kings,GT,22,1,18.7,24.4,16,5,1972, , ,IPP Non-CHP,NG,DFO,KER,,,,1H,Y,Y,25.9
2499,CT01-6,NT16,24233,N.Y.C.,40.648611,-74.020833,Narrows Gas Turbines Generating,6.283185307,NY,Kings,GT,22,1,17.1,23.7,16,5,1972, , ,IPP Non-CHP,NG,DFO,KER,,,,10M,Y,Y,24.7
2499,CT01-7,NT17,24234,N.Y.C.,40.648611,-74.020833,Narrows Gas Turbines Generating,6.283185307,NY,Kings,GT,22,1,17.4,23,16,5,1972, , ,IPP Non-CHP,NG,DFO,KER,,,,1H,Y,Y,24
2499,CT01-8,NT18,24235,N.Y.C.,40.648611,-74.020833,Narrows Gas Turbines Generating,6.283185307,NY,Kings,GT,22,1,17.3,22.2,16,5,1972, , ,IPP Non-CHP,NG,DFO,KER,,,,1H,Y,Y,26
2499,CT02-1,NT21,24236,N.Y.C.,40.648611,-74.020833,Narrows Gas Turbines Generating,6.283185307,NY,Kings,GT,22,1,18.5,23.8,16,6,1972, , ,IPP Non-CHP,NG,DFO,KER,,,,1H,Y,Y,25.3
2499,CT02-2,NT22,24237,N.Y.C.,40.648611,-74.020833,Narrows Gas Turbines Generating,6.283185307,NY,Kings,GT,22,1,17.8,22.2,16,6,1972, , ,IPP Non-CHP,NG,DFO,KER,,,,1H,Y,Y,24.4
2499,CT02-3,NT23,24238,N.Y.C.,40.648611,-74.020833,Narrows Gas Turbines Generating,6.283185307,NY,Kings,GT,22,1,17,22.4,16,6,1972, , ,IPP Non-CHP,NG,DFO,KER,,,,1H,Y,Y,24
2499,CT02-4,NT24,24239,N.Y.C.,40.648611,-74.020833,Narrows Gas Turbines Generating,6.283185307,NY,Kings,GT,22,1,18.3,23.6,16,6,1972, , ,IPP Non-CHP,NG,DFO,KER,,,,1H,Y,Y,24
2499,CT02-5,NT25,24240,N.Y.C.,40.648611,-74.020833,Narrows Gas Turbines Generating,6.283185307,NY,Kings,GT,22,1,18.2,23.7,16,6,1972, , ,IPP Non-CHP,NG,DFO,KER,,,,1H,Y,Y,26
